,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
0,1986-03-13,0.0672,0.07533,0.0672,0.07533,1371330506,0.1079251294305058,0.0,,,,,,0.0,0.0,0.0,2.0054427187043675,3.34010354440462
1,1986-03-14,0.07533,0.07533,0.07533,0.07533,409569463,-0.0,0.0,,,,,,-0.1079251294305058,0.0,,1.8953936014867918,3.34010354440462
2,1986-03-17,0.07533,0.07533,0.07533,0.07533,176995245,-0.0,0.0,,,,,,-0.1079251294305058,0.0,0.0,1.8953936014867918,3.453869640249569
3,1986-03-18,0.07533,0.07533,0.07533,0.07533,90067008,-0.0,0.0,,,,,,-0.1079251294305058,0.0,0.0,1.8953936014867918,3.34010354440462
4,1986-03-19,0.07533,0.07533,0.07533,0.07533,63655515,-0.0,0.0,,,,,,-0.1079251294305058,0.0,0.0,2.1173503252356305,3.453869640249569
5,1986-03-20,0.07533,0.07533,0.0672,0.07533,77665088,0.1079251294305058,0.0,0.0,,,,,0.0,0.0,0.0,2.1173503252356305,3.453869640249569
6,1986-03-21,0.07533,0.07533,0.0672,0.0672,79732075,0.1079251294305058,-0.1079251294305058,-0.1079251294305058,,,,,,0.12098214285714293,,2.494494047619048,3.4927083333333337
7,1986-03-24,0.0672,0.0672,0.0672,0.0672,86775144,-0.0,0.0,-0.1079251294305058,,,,,0.12098214285714293,0.12098214285714293,0.12098214285714293,2.494494047619048,3.617857142857143
8,1986-03-25,0.0672,0.0672,0.0672,0.0672,42641156,-0.0,0.0,-0.1079251294305058,,,,,0.0,0.12098214285714293,0.12098214285714293,2.494494047619048,3.741369047619048
9,1986-03-26,0.0672,0.07533,0.0672,0.0672,30239240,0.1079251294305058,0.0,-0.1079251294305058,,,,,0.12098214285714293,0.12098214285714293,0.12098214285714293,2.494494047619048,3.617857142857143
10,1986-03-27,0.0672,0.07533,0.0672,0.07533,22392348,0.1079251294305058,0.12098214285714293,0.0,,,,,0.0,0.11363334660825708,0.0,2.1173503252356305,2.8975175892738623
11,1986-03-31,0.07533,0.07533,0.0672,0.07533,17110053,0.1079251294305058,0.0,0.12098214285714293,,,,,-0.1079251294305058,0.22421346077260051,0.0,2.340236293641312,2.8975175892738623
12,1986-04-01,0.07533,0.07533,0.0672,0.0672,14736846,0.1079251294305058,-0.1079251294305058,0.0,,,,,0.12098214285714293,0.2483630952380953,0.12098214285714293,2.7443452380952387,3.3690476190476195
13,1986-04-02,0.0672,0.07533,0.0672,0.07533,35904313,0.1079251294305058,0.12098214285714293,0.12098214285714293,,,,,0.0,0.11363334660825708,0.0,2.1173503252356305,2.783884242665605
14,1986-04-03,0.07533,0.07533,0.07533,0.07533,30622016,-0.0,0.0,0.0,,,,,0.0,0.11363334660825708,0.0,2.340236293641312,2.8975175892738623
15,1986-04-04,0.07533,0.07533,0.07533,0.07533,35330154,-0.0,0.0,,,,,,0.0,0.11363334660825708,,2.45187840169919,
16,1986-04-07,0.07533,0.07533,0.0672,0.0672,22009574,0.1079251294305058,-0.1079251294305058,-0.1079251294305058,,,,,0.12098214285714293,0.2483630952380953,0.2483630952380953,2.869494047619048,3.241666666666667
17,1986-04-08,0.0672,0.07533,0.0672,0.07533,13626799,0.1079251294305058,0.12098214285714293,0.12098214285714293,,,,,0.0,0.11363334660825708,0.11363334660825708,2.228726934820125,2.8975175892738623
18,1986-04-09,0.07533,0.07533,0.07533,0.07533,16153115,-0.0,0.0,0.0,,,,,0.0,0.11363334660825708,0.11363334660825708,2.340236293641312,3.0078322049648216
19,1986-04-10,0.07533,0.07533,0.07533,0.07533,18449763,-0.0,0.0,0.0,0.0,,,,0.0,0.11363334660825708,0.22421346077260051,2.340236293641312,3.0078322049648216
