,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
40,1972-06-13,0.04251,0.04251,0.04251,0.04251,2409320,-0.0,0.0,0.0,0.24919188950925664,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
41,1972-06-14,0.04251,0.04251,0.04251,0.04251,5902833,-0.0,0.0,0.0,0.24919188950925664,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
42,1972-06-15,0.04251,0.04251,0.04251,0.04251,1325125,-0.0,0.0,0.0,0.24919188950925664,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
43,1972-06-16,0.04251,0.04251,0.04251,0.04251,6143767,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.5968007527640555,-0.4029640084685956
44,1972-06-19,0.04251,0.04251,0.04251,0.04251,662565,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,-0.5968007527640555,-0.4029640084685956
45,1972-06-20,0.04251,0.04251,0.04251,0.04251,2770717,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
46,1972-06-21,0.04251,0.04251,0.04251,0.04251,1867224,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
47,1972-06-22,0.04251,0.04251,0.04251,0.04251,481866,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
48,1972-06-23,0.04251,0.04251,0.04251,0.04251,8312153,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,-0.4029640084685956
49,1972-06-26,0.04251,0.04251,0.04251,0.04251,2349087,-0.0,0.0,0.0,,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
50,1972-06-27,0.04251,0.04251,0.04251,0.04251,2770717,-0.0,0.0,0.0,0.0,,,,,0.0,0.1999529522465302,-0.5968007527640555,-0.4029640084685956
51,1972-06-28,0.04251,0.04251,0.04251,0.04251,7830290,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.5968007527640555,-0.4029640084685956
52,1972-06-29,0.04251,0.04251,0.04251,0.04251,4577708,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,-0.5968007527640555,-0.4029640084685956
53,1972-06-30,0.04251,0.04251,0.04251,0.04251,1806990,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.5968007527640555,-0.4029640084685956
54,1972-07-03,0.04251,0.04251,0.04251,0.04251,1626290,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
55,1972-07-05,0.04251,0.04251,0.04251,0.04251,3613980,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,,-0.4029640084685956
56,1972-07-06,0.04251,0.04251,0.04251,0.04251,1385361,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1999529522465302,,
57,1972-07-07,0.04251,0.04251,0.04251,0.04251,4035610,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,-0.4029640084685956
58,1972-07-10,0.04251,0.04251,0.04251,0.04251,1385361,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
59,1972-07-11,0.04251,0.04251,0.04251,0.04251,240933,-0.0,0.0,,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
