,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
19,1962-01-29,5.9951,6.0373,5.8952,5.8952,700585,0.023537011578023348,-0.016663608613701197,-0.03685792706835711,,,,,0.03541864567783959,0.005648663319310465,-0.2719670240195413,-0.20258854661419468,0.015588953725064414
20,1962-01-30,5.8952,5.9285,5.8201,5.8201,889207,0.018284557645272814,-0.01273917763604282,-0.03996766956980735,-0.08168449619741858,,,,0.05023968660332301,0.020085565540111094,-0.284067284067284,-0.19654301472483293,0.017181835363653475
21,1962-01-31,5.8784,6.0036,5.8784,6.0036,916151,0.020854154174162143,0.03152866789230413,-0.015092853861802036,-0.06139486890858781,,,,0.01952162036111682,-0.008311679658871252,-0.2878439602904923,-0.22526484109534273,-0.03199746818575522
22,1962-02-01,6.0703,6.1621,6.0703,6.1457,772443,0.01489751870303957,0.023669131854220815,0.019407169041418593,-0.02903862864365281,,,,-0.004051613323136416,-0.020323152773483844,-0.3056934116536765,-0.2364254682135476,-0.04624371511788716
23,1962-02-02,6.1457,6.1875,6.1208,6.1875,610767,0.010779797979798,0.006801503490245331,0.03209287584860965,-0.002675649973404748,,,,-0.0027151515151514483,-0.01894141414141426,,-0.24158383838383835,-0.02972121212121215
24,1962-02-05,6.1875,6.1875,6.0703,6.104,377238,0.01894141414141426,-0.013494949494949449,0.03541864567783959,0.0027928371940200147,,,,0.010927260812581885,-0.008224115334207083,-0.32283748361730014,-0.2366480996068151,-0.017840760157273983
25,1962-02-06,6.104,6.1208,6.087,6.1125,314365,0.005522153966801779,0.0013925294888597062,0.05023968660332301,-0.008049204005128097,,,,-0.006903885480572636,-0.009603271983640083,-0.307402862985685,-0.23638445807770958,-0.02188957055214724
26,1962-02-07,6.1208,6.1542,6.1208,6.1208,305383,0.005427187936693723,0.0013578732106340752,0.01952162036111682,-0.00808660281653617,,,,-0.009541236439681078,-0.006829172657169091,-0.317850607763691,-0.24287674813749838,-0.03002875441118802
27,1962-02-08,6.1208,6.1542,6.1208,6.1208,26945,0.005427187936693723,0.0,-0.004051613323136416,-0.018725150698986726,,,,-0.013642007580708437,-0.005522153966801779,-0.31923931512220616,-0.24150437851261275,-0.03002875441118802
28,1962-02-09,6.1208,6.1707,6.0956,6.1707,520952,0.012170418266971295,0.008152529081165927,-0.0027151515151514483,-0.013366803639096259,,,,-0.021618292900319247,-0.0067415366165912705,,-0.24489928209117273,-0.035166188600968984
29,1962-02-12,6.1707,6.2209,6.1621,6.1707,341313,0.009452008551817381,0.0,0.010927260812581885,-0.0172792712447446,,,,-0.032476056201079295,-0.00808660281653617,-0.307128850859708,-0.24899930315847474,-0.029753512567455953
30,1962-02-13,6.1707,6.1793,6.0703,6.0703,314365,0.017639538459048754,-0.0162704393342733,-0.006903885480572636,-0.0229365181560649,,,,-0.015089863762911215,0.00831919345007659,-0.29428529067756115,-0.23519430670642305,-0.010987924814259586
31,1962-02-14,6.0703,6.0956,6.0538,6.0624,251493,0.006857405341557876,-0.0013014183812990465,-0.009541236439681078,-0.008196319018404896,,,,-0.022086962259171394,0.006861968857218237,-0.293365663763526,-0.23693586698337288,-0.0014185801002903897
32,1962-02-15,6.0624,6.0624,6.0373,6.0373,278438,0.004140274478754313,-0.004140274478754313,-0.013642007580708437,-0.014977729193519473,,,,,0.009656634588309343,-0.2849286932900469,-0.2324052142514038,0.01658025938747465
33,1962-02-16,6.0373,6.0624,6.0373,6.0373,269454,0.004140274478754313,0.0,-0.021618292900319247,-0.01630983804216779,,,,-0.01384724959833028,0.013830685902638473,,-0.23101386381329403,0.019362960263693996
34,1962-02-19,6.0373,6.0624,5.9622,5.9703,341313,0.01652810768012669,-0.011097676113494437,-0.032476056201079295,-0.0245882891125343,,,,-0.007001323216588862,0.02798854328928213,-0.27132639900842515,-0.22379109927474328,0.026598328392208215
35,1962-02-20,5.9787,6.0036,5.9787,5.9787,350294,0.004147511493104106,0.00140696447414701,-0.015089863762911215,-0.013806413301662768,,,,-0.006974760399417912,0.020957733286500524,-0.24165788549350187,-0.23187314968136896,0.026544232023684167
36,1962-02-21,5.9787,6.0208,5.9285,5.9285,440112,0.015330188679245405,-0.008396474149898858,-0.022086962259171394,-0.02741321609029468,,,,0.004250653622333012,0.029602766298389316,-0.23241966770683975,-0.23098591549295766,0.03523656911529072
37,1962-02-23,5.937,5.9622,5.937,5.9537,350294,0.004226627754855605,0.004250653622333012,-0.01384724959833028,-0.006905639605677916,,,,0.019584460083645228,0.018257554126005715,,,
38,1962-02-26,5.9537,5.9537,5.9201,5.9285,359274,0.005643549389455438,-0.004232662042091606,-0.007001323216588862,0.005648663319310465,,,,0.0211351943999325,0.022585814286919303,-0.2647549970481571,-0.24507042253521127,0.040853504259087625
39,1962-02-27,5.9285,5.9787,5.8952,5.937,422149,0.013966246842959107,0.001433752213882089,-0.006974760399417912,0.020085565540111094,,,,0.01967323564089596,0.0014148559878726097,-0.27001852787603176,-0.24052551793835264,0.06469597439784414
40,1962-02-28,5.937,5.9537,5.9119,5.9537,323350,0.00702084418092952,0.002812868452080286,0.004250653622333012,-0.008311679658871252,,,,0.021045736264843518,0.004199069486201745,-0.2776760669835564,-0.24544400960747104,0.07150175521104529
41,1962-03-01,5.9703,6.0208,5.9703,6.0208,341313,0.008387589689077934,0.011270302500965723,,-0.020323152773483844,,,,0.01099521658251379,-0.009732925857029007,-0.270512224289131,-0.26353640712197723,0.04291788466648949
42,1962-03-02,6.0703,6.104,6.0703,6.0703,296401,0.005520969855832281,0.008221498804145577,0.019584460083645228,-0.01894141414141426,,,,0.00968650643296054,-0.02744510156005464,,-0.2750934879659983,0.03853186827669153
43,1962-03-05,6.0703,6.0703,6.0287,6.0538,431133,0.006853038564815561,-0.002718152315371536,0.0211351943999325,-0.008224115334207083,,,,0.011067428722455253,-0.03726584954904355,-0.29104033829991083,-0.26069576133998473,0.033119693415705864
44,1962-03-06,6.0538,6.079,6.0373,6.0538,224544,0.006859680868563811,0.0,0.01967323564089596,-0.009603271983640083,,,,0.011067428722455253,-0.062060193597409885,-0.2993326505665863,-0.26479236182232646,0.033119693415705864
